run_name,data_dir,n_files,T,Z,n_neurons,composite_score,split_half_stability,gSig,min_corr,min_pnr,rf,p
7iii25_Task4,/home/abl-dell/Documents/fishBrain_Kiitan/ZebraFishUMichiganProject/Army Project/7iii25/2025-03-07_090808/20250307-231142_Task_4_Description_for_C,42,42,7,202,-1.0294721012249057,0.275,2,0.5872333700639187,3,80,1
7iii25_Task6,/home/abl-dell/Documents/fishBrain_Kiitan/ZebraFishUMichiganProject/Army Project/7iii25/2025-03-07_090808/20250307-231838_Task_6_Description_for_C,56,56,7,168,-1.0915769951517074,0.2,2,0.520004825035999,3,80,1
7iii25_Task5,/home/abl-dell/Documents/fishBrain_Kiitan/ZebraFishUMichiganProject/Army Project/7iii25/2025-03-07_090808/20250307-231510_Task_5_Description_for_C,49,49,7,482,-0.9542140445617426,0.099,4,0.6687571754545379,3,80,1
13iii26_task1_smoke,time-split,512,True,0,0,-inf,0.0,4,0.7508609501227463,8,40,1
13iii26_task1_smoke4,time-split,512,True,12,79,0.0990751573766182,0.14285714285714285,2,0.5799374372718651,3,80,1
13iii26_task3_timesplit,time-split,512,True,4,29,-0.06922395919575149,0.0,2,0.507202172349293,3,80,1
13iii26_task1_timesplit,time-split,512,True,5,34,-0.10654730136358165,0.0,2,0.46801494590515785,3,80,1
13iii26_task3_to_task1,file-plane-split,512,True,56,234,0.8161733117395193,0.96,2,0.5247517348880972,3,80,1
13iii26_task1_to_task3,file-plane-split,512,True,50,215,0.8590706387466802,1.0,2,0.5247517351689782,3,80,1
smoke_timsplit,time-split,512,True,6,25,-0.04720555699325913,0.0,4,0.7508609501227463,8,40,1
20iv26_142407_default,time-split,512,True,19,98,-0.006423942718853376,0.0,2,0.5799374372718651,3,80,1
20iv26_142407_time_split_full,time-split,full,True,2,32,-0.006917965030590867,0.0,4,0.6399513401003394,5,320,1
20iv26_144159_time_split_full,time-split,full,True,3,7,0.007358570326720017,0.0,15,0.846495201681048,9,240,1
20iv26_144321_time_split_full,time-split,full,True,2,15,0.005724105521251099,0.5,5,0.8284934481555126,5,240,1
format_detection_test,time-split,full,True,26,60,-0.3298921752690035,0.038461538461538464,14,0.7728918500954693,9,160,1
speed_opt_test,time-split,full,True,26,60,-0.36835371373054193,0.0,14,0.7728918500954693,9,160,1
regression_test2,time-split,1024,False,0,0,-inf,0.0,9,0.7728918500954693,9,80,1
regression_test,time-split,full,False,0,0,-inf,0.0,14,0.7728918500954693,9,160,1
regression_test4,time-split,full,True,0,0,-inf,0.0,14,0.7728918500954693,9,160,1
regression_test5,time-split,full,True,0,0,-inf,0.0,14,0.7728918500954693,9,160,1
regression_test7,time-split,full,True,26,60,-0.36835371373054193,0.0,14,0.7728918500954693,9,160,1
